cdf,prefill_e2e_time_normalized
0.0,1.7872183135969616e-05
0.01,3.008228684020071e-05
0.02,3.012500115577558e-05
0.03,3.17191547481275e-05
0.04,3.247288197660835e-05
0.05,3.483298502965034e-05
0.06,3.592880377793475e-05
0.07,3.600983381378683e-05
0.08,3.602065234398693e-05
0.09,3.607162406765253e-05
0.1,3.629415733173175e-05
0.11,3.63887766877037e-05
0.12,3.7005524392762106e-05
0.13,3.780239040752661e-05
0.14,3.813725728923485e-05
0.15,3.8194590063083356e-05
0.16,3.8265650831177715e-05
0.17,3.849855162748436e-05
0.18,3.8689854427280056e-05
0.19,3.8955226188155075e-05
0.2,4.102702503486701e-05
0.21,4.209304393621514e-05
0.22,4.227508275401088e-05
0.23,4.239287838764494e-05
0.24,4.289801220740514e-05
0.25,4.326235093652952e-05
0.26,4.370548914204069e-05
0.27,4.376767631542737e-05
0.28,4.431693172053883e-05
0.29,4.5346925650701e-05
0.3,4.5661098810250274e-05
0.31,4.586977062684373e-05
0.32,4.6033207572893076e-05
0.33,4.611571443953489e-05
0.34,4.616467033998879e-05
0.35000000000000003,4.619692572507267e-05
0.36,4.6898385310531186e-05
0.37,4.750834274744172e-05
0.38,4.778890511496873e-05
0.39,4.8096553501657744e-05
0.4,4.840223184378419e-05
0.41000000000000003,4.887840547820866e-05
0.42,4.917691235966737e-05
0.43,4.955477145147814e-05
0.44,5.033045200834829e-05
0.45,5.0583553989175395e-05
0.46,5.063102534564345e-05
0.47000000000000003,5.095195663620102e-05
0.48,5.1169515681648714e-05
0.49,5.136413885290319e-05
0.5,5.179665040162412e-05
0.51,5.432518602814829e-05
0.52,5.513091832854279e-05
0.53,5.5130918328546374e-05
0.54,5.518900927359091e-05
0.55,5.5249450006864657e-05
0.56,5.553656718896912e-05
0.5700000000000001,5.585771444778049e-05
0.58,5.6372304211405295e-05
0.59,5.666783127668651e-05
0.6,5.7126888827738435e-05
0.61,5.7424356374517784e-05
0.62,5.778575716586483e-05
0.63,5.8064714929297205e-05
0.64,5.944060009192183e-05
0.65,6.0552635466756926e-05
0.66,6.105680042600841e-05
0.67,6.138657057552926e-05
0.68,6.171235409684822e-05
0.6900000000000001,6.204515623556528e-05
0.7000000000000001,6.295742267156578e-05
0.71,6.490451731266441e-05
0.72,6.523554374807246e-05
0.73,6.561137887619263e-05
0.74,6.593465214756254e-05
0.75,6.661581739299969e-05
0.76,6.717665812905197e-05
0.77,6.774758829755707e-05
0.78,6.787862617663258e-05
0.79,6.794882808429719e-05
0.8,6.84677265155159e-05
0.81,6.891600466901278e-05
0.8200000000000001,6.9409905893401e-05
0.8300000000000001,7.083917024880566e-05
0.84,7.107535125545032e-05
0.85,7.212981668865232e-05
0.86,7.274768915232596e-05
0.87,7.470307862135455e-05
0.88,7.556648221634238e-05
0.89,7.581085686530062e-05
0.9,7.627117170150318e-05
0.91,7.736047877889758e-05
0.92,7.868469258316829e-05
0.93,8.111925228598527e-05
0.9400000000000001,8.222120408455736e-05
0.9500000000000001,8.514607916195325e-05
0.96,8.831693390206072e-05
0.97,0.00011401775113319006
0.98,0.00015473127146080703
0.99,0.00022932234401774944
1.0,0.0003354458884257764
