Time (sec),request_arrival
0.0,1
3.0,2
3.0,3
5.999,4
9.0,5
9.0,6
9.0,7
12.0,8
12.0,9
12.0,10
15.0,11
15.0,12
15.0,13
18.0,14
21.0,15
21.0,16
24.0,17
27.0,18
27.0,19
33.0,20
33.0,21
36.0,22
36.0,23
36.0,24
36.0,25
36.0,26
39.0,27
39.0,28
39.0,29
41.999,30
45.0,31
45.0,32
45.0,33
48.0,34
48.0,35
48.0,36
48.0,37
48.0,38
51.0,39
51.0,40
51.0,41
54.0,42
54.0,43
57.0,44
57.0,45
57.0,46
57.0,47
60.0,48
60.0,49
63.0,50
65.999,51
65.999,52
65.999,53
69.0,54
69.0,55
69.0,56
69.0,57
72.0,58
72.0,59
72.0,60
74.999,61
74.999,62
74.999,63
81.0,64
81.0,65
81.0,66
81.0,67
84.0,68
86.999,69
86.999,70
86.999,71
86.999,72
86.999,73
86.999,74
86.999,75
90.0,76
93.0,77
93.0,78
95.999,79
95.999,80
99.0,81
99.0,82
99.0,83
102.0,84
102.0,85
102.0,86
108.0,87
111.0,88
111.0,89
117.0,90
117.0,91
117.0,92
117.0,93
120.0,94
120.0,95
120.0,96
120.0,97
123.0,98
123.0,99
125.999,100
131.999,101
131.999,102
131.999,103
131.999,104
135.0,105
138.0,106
138.0,107
138.0,108
141.0,109
141.0,110
141.0,111
141.0,112
144.0,113
144.0,114
147.0,115
147.0,116
147.0,117
149.999,118
149.999,119
149.999,120
149.999,121
153.0,122
153.0,123
153.0,124
156.0,125
156.0,126
159.0,127
159.0,128
