Time (sec),request_arrival,replica
0.0,1,0
12.0,2,0
15.0,3,0
21.0,4,0
27.0,5,0
33.0,6,0
36.0,7,0
39.0,8,0
41.999,9,0
48.0,10,0
48.0,11,0
54.0,12,0
57.0,13,0
63.0,14,0
65.999,15,0
69.0,16,0
72.0,17,0
74.999,18,0
84.0,19,0
86.999,20,0
90.0,21,0
99.0,22,0
108.0,23,0
117.0,24,0
123.0,25,0
131.999,26,0
138.0,27,0
144.0,28,0
147.0,29,0
149.999,30,0
149.999,31,0
159.0,32,0
3.0,1,1
9.0,2,1
12.0,3,1
15.0,4,1
21.0,5,1
27.0,6,1
36.0,7,1
39.0,8,1
45.0,9,1
48.0,10,1
54.0,11,1
57.0,12,1
57.0,13,1
60.0,14,1
65.999,15,1
69.0,16,1
74.999,17,1
81.0,18,1
81.0,19,1
86.999,20,1
86.999,21,1
95.999,22,1
102.0,23,1
111.0,24,1
117.0,25,1
123.0,26,1
131.999,27,1
138.0,28,1
141.0,29,1
149.999,30,1
153.0,31,1
5.999,1,2
9.0,2,2
12.0,3,2
18.0,4,2
24.0,5,2
33.0,6,2
36.0,7,2
36.0,8,2
45.0,9,2
48.0,10,2
51.0,11,2
51.0,12,2
57.0,13,2
65.999,14,2
72.0,15,2
72.0,16,2
81.0,17,2
86.999,18,2
86.999,19,2
93.0,20,2
95.999,21,2
99.0,22,2
102.0,23,2
117.0,24,2
120.0,25,2
120.0,26,2
125.999,27,2
131.999,28,2
138.0,29,2
141.0,30,2
141.0,31,2
147.0,32,2
149.999,33,2
153.0,34,2
156.0,35,2
156.0,36,2
3.0,1,3
9.0,2,3
15.0,3,3
36.0,4,3
39.0,5,3
45.0,6,3
48.0,7,3
51.0,8,3
60.0,9,3
69.0,10,3
69.0,11,3
74.999,12,3
81.0,13,3
86.999,14,3
86.999,15,3
93.0,16,3
99.0,17,3
102.0,18,3
111.0,19,3
117.0,20,3
120.0,21,3
120.0,22,3
131.999,23,3
135.0,24,3
141.0,25,3
144.0,26,3
147.0,27,3
153.0,28,3
159.0,29,3
