cdf,prefill_e2e_time_normalized,replica
0.0,3.0106815830777123e-05,0
0.01,3.079150646965633e-05,0
0.02,3.147619710853554e-05,0
0.03,3.2160887747414754e-05,0
0.04,3.329090679385591e-05,0
0.05,3.4550813292502625e-05,0
0.06,3.581071979114935e-05,0
0.07,3.6569702658612015e-05,0
0.08,3.691616018274663e-05,0
0.09,3.726261770688124e-05,0
0.1,3.756248669849468e-05,0
0.11,3.7764519771813676e-05,0
0.12,3.7966552845132665e-05,0
0.13,3.8152393184056666e-05,0
0.14,3.8187101335294104e-05,0
0.15,3.822180948653154e-05,0
0.16,3.825651763776898e-05,0
0.17,3.931398497314109e-05,0
0.18,4.0522972187644254e-05,0
0.19,4.173195940214742e-05,0
0.2,4.219165531159274e-05,0
0.21,4.2239241003256245e-05,0
0.22,4.2286826694919756e-05,0
0.23,4.2764551041384146e-05,0
0.24,4.3837851986803604e-05,0
0.25,4.491115293222307e-05,0
0.26,4.586015751209153e-05,0
0.27,4.6291260568830796e-05,0
0.28,4.672236362557007e-05,0
0.29,4.7153466682309334e-05,0
0.3,4.7365572739243854e-05,0
0.31,4.757037889618489e-05,0
0.32,4.777518505312592e-05,0
0.33,4.794456373935175e-05,0
0.34,4.8101619827067946e-05,0
0.35000000000000003,4.8258675914784135e-05,0
0.36,4.848727773925538e-05,0
0.37,4.878295369193448e-05,0
0.38,4.907862964461358e-05,0
0.39,4.932775542672892e-05,0
0.4,4.946309190302172e-05,0
0.41000000000000003,4.9598428379314526e-05,0
0.42,4.973879298227433e-05,0
0.43,4.9952065421905644e-05,0
0.44,5.016533786153696e-05,0
0.45,5.037861030116826e-05,0
0.46,5.045612419365201e-05,0
0.47000000000000003,5.050753067322277e-05,0
0.48,5.0558937152793525e-05,0
0.49,5.05848120035667e-05,0
0.5,5.05945616150993e-05,0
0.51,5.06043112266319e-05,0
0.52,5.0616212095177126e-05,0
0.53,5.063151912065899e-05,0
0.54,5.0646826146140867e-05,0
0.55,5.071776153804661e-05,0
0.56,5.107796443535648e-05,0
0.5700000000000001,5.143816733266635e-05,0
0.58,5.1798370229976215e-05,0
0.59,5.2764514712882984e-05,0
0.6,5.3772448270658494e-05,0
0.61,5.4780381828434024e-05,0
0.62,5.508574803831547e-05,0
0.63,5.5103700333149346e-05,0
0.64,5.512165262798322e-05,0
0.65,5.514594184881334e-05,0
0.66,5.5176990457372783e-05,0
0.67,5.520803906593223e-05,0
0.68,5.523280453049011e-05,0
0.6900000000000001,5.52395059560435e-05,0
0.7000000000000001,5.5246207381596886e-05,0
0.71,5.525775561158309e-05,0
0.72,5.5414707974553726e-05,0
0.73,5.557166033752435e-05,0
0.74,5.572861270049499e-05,0
0.75,5.5988270307874316e-05,0
0.76,5.627257717391174e-05,0
0.77,5.655688403994917e-05,0
0.78,5.684044983810787e-05,0
0.79,5.71234804205764e-05,0
0.8,5.740651100304492e-05,0
0.81,5.850753384156799e-05,0
0.8200000000000001,6.109581532746286e-05,0
0.8300000000000001,6.368409681335778e-05,0
0.84,6.597727191152748e-05,0
0.85,6.627847889255203e-05,0
0.86,6.657968587357658e-05,0
0.87,6.688089285460111e-05,0
0.88,6.719312254039292e-05,0
0.89,6.750653323026694e-05,0
0.9,6.781994392014095e-05,0
0.91,6.86042251093558e-05,0
0.92,6.961273034587577e-05,0
0.93,7.062123558239578e-05,0
0.9400000000000001,7.19837202931133e-05,0
0.9500000000000001,7.37760372224993e-05,0
0.96,7.556835415188527e-05,0
0.97,8.919642983385806e-05,0
0.98,0.00014340424981041365,0
0.99,0.00019761206978696983,0
1.0,0.0002518198897635254,0
0.0,1.7872183135969616e-05,1
0.01,2.2795376784397432e-05,1
0.02,2.7718570432825244e-05,1
0.03,3.2641764081253056e-05,1
0.04,3.4637131003194634e-05,1
0.05,3.51685845618931e-05,1
0.06,3.5700038120591557e-05,1
0.07,3.627646065535403e-05,1
0.08,3.6942821142244525e-05,1
0.09,3.760918162913502e-05,1
0.1,3.827554211602552e-05,1
0.11,3.947758973507618e-05,1
0.12,4.067963735412684e-05,1
0.13,4.18816849731775e-05,1
0.14,4.236347237351321e-05,1
0.15,4.248512966449145e-05,1
0.16,4.2606786955469694e-05,1
0.17,4.2731666897639205e-05,1
0.18,4.286299214219126e-05,1
0.19,4.299431738674331e-05,1
0.2,4.312564263129537e-05,1
0.21,4.318032595338903e-05,1
0.22,4.3235009275482694e-05,1
0.23,4.328969259757635e-05,1
0.24,4.340683679593036e-05,1
0.25,4.355521143241455e-05,1
0.26,4.370358606889874e-05,1
0.27,4.396976238985332e-05,1
0.28,4.447154207974869e-05,1
0.29,4.497332176964407e-05,1
0.3,4.547510145953944e-05,1
0.31,4.56410343898245e-05,1
0.32,4.5806967320109546e-05,1
0.33,4.59729002503946e-05,1
0.34,4.605443812814042e-05,1
0.35000000000000003,4.609377847961662e-05,1
0.36,4.613311883109282e-05,1
0.37,4.616230384758353e-05,1
0.38,4.6171178194103254e-05,1
0.39,4.618005254062298e-05,1
0.4,4.61889268871427e-05,1
0.41000000000000003,4.685798545272367e-05,1
0.42,4.752704401830465e-05,1
0.43,4.8196102583885624e-05,1
0.44,4.8559186937474784e-05,1
0.45,4.876928418506803e-05,1
0.46,4.8979381432661274e-05,1
0.47000000000000003,4.932481253652699e-05,1
0.48,4.994091135293764e-05,1
0.49,5.05570101693483e-05,1
0.5,5.1173108985758955e-05,1
0.51,5.278853104051352e-05,1
0.52,5.440395309526809e-05,1
0.53,5.6019375150022646e-05,1
0.54,5.6664088897547606e-05,1
0.55,5.682344849145776e-05,1
0.56,5.698280808536792e-05,1
0.5700000000000001,5.7107968321189895e-05,1
0.58,5.7164729840835517e-05,1
0.59,5.7221491360481145e-05,1
0.6,5.727825288012677e-05,1
0.61,5.834096081673931e-05,1
0.62,5.940366875335185e-05,1
0.63,6.046637668996438e-05,1
0.64,6.087821943887747e-05,1
0.65,6.096462959394083e-05,1
0.66,6.105103974900419e-05,1
0.67,6.13034591270356e-05,1
0.68,6.188789695100313e-05,1
0.6900000000000001,6.247233477497065e-05,1
0.7000000000000001,6.305677259893817e-05,1
0.71,6.359243425610511e-05,1
0.72,6.412809591327207e-05,1
0.73,6.466375757043901e-05,1
0.74,6.492791094809493e-05,1
0.75,6.505631018599533e-05,1
0.76,6.518470942389573e-05,1
0.77,6.552667138668328e-05,1
0.78,6.62957587992451e-05,1
0.79,6.706484621180693e-05,1
0.8,6.783393362436875e-05,1
0.81,6.816482866663205e-05,1
0.8200000000000001,6.849572370889534e-05,1
0.8300000000000001,6.882661875115863e-05,1
0.84,6.898556763088312e-05,1
0.85,6.90585434293382e-05,1
0.86,6.913151922779329e-05,1
0.87,6.948016355741287e-05,1
0.88,7.038014494936145e-05,1
0.89,7.128012634131004e-05,1
0.9,7.218010773325862e-05,1
0.91,7.286585206727359e-05,1
0.92,7.355159640128854e-05,1
0.93,7.423734073530351e-05,1
0.9400000000000001,7.476827642824268e-05,1
0.9500000000000001,7.522180780064395e-05,1
0.96,7.567533917304522e-05,1
0.97,7.652666478719481e-05,1
0.98,7.817357888484102e-05,1
0.99,7.982049298248725e-05,1
1.0,8.146740708013348e-05,1
0.0,3.007321447382313e-05,2
0.01,3.077889980304789e-05,2
0.02,3.148458513227265e-05,2
0.03,3.227772056083868e-05,2
0.04,3.359555658545232e-05,2
0.05,3.491339261006596e-05,2
0.06,3.5866655624237306e-05,2
0.07,3.590848611230289e-05,2
0.08,3.595031660036848e-05,2
0.09,3.5980222108998244e-05,2
0.1,3.59942276450469e-05,2
0.11,3.600823318109555e-05,2
0.12,3.6030295413466515e-05,2
0.13,3.60584001680792e-05,2
0.14,3.608650492269189e-05,2
0.15,3.616816541598742e-05,2
0.16,3.627124820475609e-05,2
0.17,3.637433099352476e-05,2
0.18,3.652740662775833e-05,2
0.19,3.668881440290273e-05,2
0.2,3.685022217804713e-05,2
0.21,3.748137793432362e-05,2
0.22,3.811253369060012e-05,2
0.23,3.8655636553281475e-05,2
0.24,3.867042205439197e-05,2
0.25,3.868520755550247e-05,2
0.26,3.870000230044063e-05,2
0.27,3.8714820154947966e-05,2
0.28,3.87296380094553e-05,2
0.29,3.948306609929807e-05,2
0.3,4.122130783625477e-05,2
0.31,4.295954957321146e-05,2
0.32,4.4093258696135314e-05,2
0.33,4.477356835853451e-05,2
0.34,4.545387802093371e-05,2
0.35000000000000003,4.576708828345934e-05,2
0.36,4.593345878603554e-05,2
0.37,4.609982928861174e-05,2
0.38,4.614852817704863e-05,2
0.39,4.617761512979563e-05,2
0.4,4.620670208254264e-05,2
0.41000000000000003,4.6663481763037324e-05,2
0.42,4.7120261443532e-05,2
0.43,4.752495532142648e-05,2
0.44,4.76171343837197e-05,2
0.45,4.7709313446012926e-05,2
0.46,4.810596770832901e-05,2
0.47000000000000003,4.926380997070222e-05,2
0.48,5.042165223307545e-05,2
0.49,5.16904226748345e-05,2
0.5,5.3107097355774685e-05,2
0.51,5.452377203671487e-05,2
0.52,5.5130918328546374e-05,2
0.53,5.5130918328546374e-05,2
0.54,5.5130918328546374e-05,2
