cdf,prefill_time_execution_plus_preemption_normalized,replica
0.0,3.0106815830777123e-05,0
0.01,3.079150646965633e-05,0
0.02,3.147619710853554e-05,0
0.03,3.2160887747414754e-05,0
0.04,3.329090679385591e-05,0
0.05,3.4550813292502625e-05,0
0.06,3.581071979114935e-05,0
0.07,3.646391466109191e-05,0
0.08,3.661746466033692e-05,0
0.09,3.677101465958193e-05,0
0.1,3.693726063484132e-05,0
0.11,3.7130168159730923e-05,0
0.12,3.7323075684620526e-05,0
0.13,3.751686632710007e-05,0
0.14,3.7718899400419064e-05,0
0.15,3.792093247373805e-05,0
0.16,3.812296554705705e-05,0
0.17,3.8179264010821134e-05,0
0.18,3.821397216205857e-05,0
0.19,3.824868031329601e-05,0
0.2,3.8368058874639866e-05,0
0.21,3.8534006161542245e-05,0
0.22,3.869995344844463e-05,0
0.23,3.883866138862137e-05,0
0.24,3.8939653310254915e-05,0
0.25,3.9040645231888466e-05,0
0.26,3.931363233597309e-05,0
0.27,4.030326603360383e-05,0
0.28,4.1292899731234575e-05,0
0.29,4.2282533428865315e-05,0
0.3,4.335313543080772e-05,0
0.31,4.4426436376227184e-05,0
0.32,4.549973732164664e-05,0
0.33,4.6096568865787254e-05,0
0.34,4.6527671922526526e-05,0
0.35000000000000003,4.695877497926579e-05,0
0.36,4.72307115410109e-05,0
0.37,4.735342951369897e-05,0
0.38,4.7476147486387046e-05,0
0.39,4.758658083644501e-05,0
0.4,4.766698510896269e-05,0
0.41000000000000003,4.7747389381480376e-05,0
0.42,4.7832847571864756e-05,0
0.43,4.799158757131622e-05,0
0.44,4.815032757076769e-05,0
0.45,4.8309067570219156e-05,0
0.46,4.850549761841006e-05,0
0.47000000000000003,4.8709175752896995e-05,0
0.48,4.891285388738394e-05,0
0.49,4.926174632486951e-05,0
0.5,4.970235305898578e-05,0
0.51,5.0142959793102046e-05,0
0.52,5.044260770752889e-05,0
0.53,5.051907082411411e-05,0
0.54,5.059553394069934e-05,0
0.55,5.071776153804661e-05,0
0.56,5.107796443535648e-05,0
0.5700000000000001,5.143816733266635e-05,0
0.58,5.1798370229976215e-05,0
0.59,5.194126313544547e-05,0
0.6,5.206916914492571e-05,0
0.61,5.219707515440596e-05,0
0.62,5.285874483659364e-05,0
0.63,5.373877238488892e-05,0
0.64,5.461879993318419e-05,0
0.65,5.508169429432072e-05,0
0.66,5.50996465891546e-05,0
0.67,5.5117598883988477e-05,0
0.68,5.513893087268701e-05,0
0.6900000000000001,5.5169979481246456e-05,0
0.7000000000000001,5.52010280898059e-05,0
0.71,5.5231291305365145e-05,0
0.72,5.523799273091854e-05,0
0.73,5.524469415647193e-05,0
0.74,5.525139558202532e-05,0
0.75,5.537926711839907e-05,0
0.76,5.5536219481369695e-05,0
0.77,5.569317184434033e-05,0
0.78,5.592407198328523e-05,0
0.79,5.620837884932265e-05,0
0.8,5.649268571536007e-05,0
0.81,5.677653970658272e-05,0
0.8200000000000001,5.705957028905124e-05,0
0.8300000000000001,5.734260087151977e-05,0
0.84,5.792308318346266e-05,0
0.85,6.0511364669357554e-05,0
0.86,6.309964615525249e-05,0
0.87,6.568792764114738e-05,0
0.88,6.621046441296584e-05,0
0.89,6.651167139399039e-05,0
0.9,6.681287837501493e-05,0
0.91,6.712235238461492e-05,0
0.92,6.743576307448893e-05,0
0.93,6.774917376436294e-05,0
0.9400000000000001,6.918593157244491e-05,0
0.9500000000000001,7.198675373835092e-05,0
0.96,7.478757590425689e-05,0
0.97,7.703184881703803e-05,0
0.98,7.736795286196254e-05,0
0.99,7.770405690688704e-05,0
1.0,7.804016095181155e-05,0
0.0,1.7872183135969616e-05,1
0.01,2.183333586658104e-05,1
0.02,2.5794488597192464e-05,1
0.03,2.9755641327803887e-05,1
0.04,3.207168855568426e-05,1
0.05,3.356518303219911e-05,1
0.06,3.505867750871396e-05,1
0.07,3.627646065535403e-05,1
0.08,3.6942821142244525e-05,1
0.09,3.760918162913502e-05,1
0.1,3.827554211602552e-05,1
0.11,3.861126247056235e-05,1
0.12,3.8946982825099174e-05,1
0.13,3.9282703179636e-05,1
0.14,3.9448675868401365e-05,1
0.15,3.9529774724281005e-05,1
0.16,3.9610873580160645e-05,1
0.17,3.996723471728455e-05,1
0.18,4.087412041689698e-05,1
0.19,4.178100611650942e-05,1
0.2,4.268789181612185e-05,1
0.21,4.281921706067391e-05,1
0.22,4.295054230522596e-05,1
0.23,4.308186754977802e-05,1
0.24,4.32610146036806e-05,1
0.25,4.346407256225845e-05,1
0.26,4.36671305208363e-05,1
0.27,4.396976238985332e-05,1
0.28,4.447154207974869e-05,1
0.29,4.497332176964407e-05,1
0.3,4.547510145953944e-05,1
0.31,4.56410343898245e-05,1
0.32,4.5806967320109546e-05,1
0.33,4.59729002503946e-05,1
0.34,4.605443812814042e-05,1
0.35000000000000003,4.609377847961662e-05,1
0.36,4.613311883109282e-05,1
0.37,4.616230384758353e-05,1
0.38,4.6171178194103254e-05,1
0.39,4.618005254062298e-05,1
0.4,4.61889268871427e-05,1
0.41000000000000003,4.685798545272367e-05,1
0.42,4.752704401830465e-05,1
0.43,4.8196102583885624e-05,1
0.44,4.8559186937474784e-05,1
0.45,4.876928418506803e-05,1
0.46,4.8979381432661274e-05,1
0.47000000000000003,4.932481253652699e-05,1
0.48,4.994091135293764e-05,1
0.49,5.05570101693483e-05,1
0.5,5.1173108985758955e-05,1
0.51,5.278853104051352e-05,1
0.52,5.440395309526809e-05,1
0.53,5.6019375150022646e-05,1
0.54,5.6664088897547606e-05,1
0.55,5.682344849145776e-05,1
0.56,5.698280808536792e-05,1
0.5700000000000001,5.7107968321189895e-05,1
0.58,5.7164729840835517e-05,1
0.59,5.7221491360481145e-05,1
0.6,5.727825288012677e-05,1
0.61,5.834096081673931e-05,1
0.62,5.940366875335185e-05,1
0.63,6.046637668996438e-05,1
0.64,6.087821943887747e-05,1
0.65,6.096462959394083e-05,1
0.66,6.105103974900419e-05,1
0.67,6.127361038351311e-05,1
0.68,6.176850197691313e-05,1
0.6900000000000001,6.226339357031315e-05,1
0.7000000000000001,6.275828516371317e-05,1
0.71,6.284783139428067e-05,1
0.72,6.293737762484816e-05,1
0.73,6.302692385541567e-05,1
0.74,6.34994798623164e-05,1
0.75,6.416354075738375e-05,1
0.76,6.482760165245111e-05,1
0.77,6.552667138668328e-05,1
0.78,6.62957587992451e-05,1
0.79,6.706484621180693e-05,1
0.8,6.783393362436875e-05,1
0.81,6.816482866663205e-05,1
0.8200000000000001,6.849572370889534e-05,1
0.8300000000000001,6.882661875115863e-05,1
0.84,6.898556763088312e-05,1
0.85,6.90585434293382e-05,1
0.86,6.913151922779329e-05,1
0.87,6.948016355741287e-05,1
0.88,7.038014494936145e-05,1
0.89,7.128012634131004e-05,1
0.9,7.218010773325862e-05,1
0.91,7.286585206727359e-05,1
0.92,7.355159640128854e-05,1
0.93,7.423734073530351e-05,1
0.9400000000000001,7.476827642824268e-05,1
0.9500000000000001,7.522180780064395e-05,1
0.96,7.567533917304522e-05,1
0.97,7.652666478719481e-05,1
0.98,7.817357888484102e-05,1
0.99,7.982049298248725e-05,1
1.0,8.146740708013348e-05,1
0.0,3.007321447382313e-05,2
0.01,3.077889980304789e-05,2
0.02,3.148458513227265e-05,2
0.03,3.227772056083868e-05,2
0.04,3.359555658545232e-05,2
0.05,3.491339261006596e-05,2
0.06,3.5866655624237306e-05,2
0.07,3.590848611230289e-05,2
0.08,3.595031660036848e-05,2
0.09,3.5980222108998244e-05,2
0.1,3.59942276450469e-05,2
0.11,3.600823318109555e-05,2
0.12,3.6030295413466515e-05,2
0.13,3.60584001680792e-05,2
0.14,3.608650492269189e-05,2
0.15,3.616816541598742e-05,2
0.16,3.627124820475609e-05,2
0.17,3.637433099352476e-05,2
0.18,3.652740662775833e-05,2
0.19,3.668881440290273e-05,2
0.2,3.685022217804713e-05,2
0.21,3.703233530322531e-05,2
0.22,3.72144484284035e-05,2
0.23,3.74346943401417e-05,2
0.24,3.788373697124001e-05,2
0.25,3.8332779602338325e-05,2
0.26,3.865774876772583e-05,2
0.27,3.867253426883633e-05,2
0.28,3.868731976994683e-05,2
0.29,3.8702119136798825e-05,2
0.3,3.871693699130616e-05,2
0.31,3.873175484581349e-05,2
0.32,3.973138634743475e-05,2
0.33,4.146962808439145e-05,2
0.34,4.320786982134814e-05,2
0.35000000000000003,4.419044579076377e-05,2
0.36,4.4870755453162967e-05,2
0.37,4.555106511556216e-05,2
0.38,4.579085549811308e-05,2
0.39,4.595722600068928e-05,2
0.4,4.612359650326548e-05,2
0.41000000000000003,4.615268345601249e-05,2
0.42,4.618177040875949e-05,2
0.43,4.627195632261331e-05,2
0.44,4.672873600310799e-05,2
0.45,4.7185515683602675e-05,2
0.46,4.7863433443504456e-05,2
0.47000000000000003,4.909419640192396e-05,2
0.48,5.032495936034348e-05,2
0.49,5.103650606497474e-05,2
0.5,5.105576443122167e-05,2
0.51,5.10750227974686e-05,2
0.52,5.1892804772111667e-05,2
0.53,5.330947945305186e-05,2
0.54,5.4726154133992046e-05,2
