Time (sec),request_completion,replica
3.40594618062045,1,0
15.231567989970024,2,0
18.188251624651603,3,0
23.268857046577235,4,0
29.9223435692609,5,0
38.27876950114484,6,0
41.3137361694394,7,0
41.37262544496601,8,0
46.697071689472835,9,0
49.412156268643834,10,0
52.11172309145536,11,0
56.33427549656536,12,0
60.16121585079083,13,0
64.30583885642051,14,0
70.4160960439057,15,0
71.28762881104184,16,0
78.0269488546668,17,0
81.50007194007084,18,0
87.3238201081934,19,0
88.3035181570496,20,0
96.72978320247483,21,0
106.32891956262635,22,0
108.96265862512008,23,0
121.1967373676577,24,0
126.70080033428664,25,0
133.24107386803837,26,0
141.3415950590131,27,0
144.13483906842416,28,0
147.41324354996348,29,0
155.37721120537324,30,0
156.4905456201072,31,0
162.3257955648082,32,0
6.7277787386457195,1,1
9.44509327981601,2,1
17.569931415891357,3,1
19.355251887452916,4,1
24.975942730137845,5,1
27.4923892534704,6,1
36.394817938844916,7,1
41.672441518033125,8,1
51.48031335150386,9,1
53.58488482854057,10,1
56.0202120210775,11,1
57.284061022241616,12,1
64.50828462702263,13,1
64.7227467119536,14,1
70.99401975334216,15,1
74.41768753632398,16,1
77.80082653727632,17,1
81.52281091794889,18,1
84.53114179260209,19,1
87.96557175480058,20,1
92.91564921399022,21,1
100.26629783675716,22,1
102.06803185889808,23,1
111.46979401170087,24,1
120.81176134287762,25,1
126.97707416524828,26,1
135.13988395624148,27,1
138.7661541040736,28,1
147.4946051248882,29,1
151.84163338720424,30,1
160.277922008877,31,1
6.32719910970736,1,2
11.382854263788108,2,2
18.064150792267633,3,2
18.586500384007124,4,2
27.655769040993665,5,2
35.60144163146487,6,2
43.27827638610438,7,2
43.40429916115755,8,2
48.214686214023885,9,2
49.38453956455582,10,2
51.84745031739247,11,2
55.81428522610479,12,2
64.41183164393256,13,2
70.1885775965682,14,2
75.9260178567596,15,2
78.19727432826282,16,2
85.79083318194486,17,2
88.29825610597499,18,2
91.53369230323747,19,2
94.68069605235021,20,2
96.93188383242516,21,2
101.69891646134252,22,2
108.83386886104113,23,2
118.96271618006207,24,2
123.57110724664392,25,2
123.62959921017057,26,2
126.40461981056501,27,2
136.95475356911786,28,2
138.2854098694179,29,2
141.17506402719113,30,2
144.97979524500832,31,2
147.89822308103624,32,2
152.70325877939862,33,2
153.30163075156102,34,2
160.24980286025172,35,2
161.72010391704714,36,2
6.516139722988092,1,3
15.29662539512397,2,3
18.806884778219423,3,3
41.50765490751867,4,3
44.87011805371063,5,3
49.12921730170649,6,3
52.90254241526724,7,3
60.24762472199566,8,3
63.93583225614383,9,3
70.29610853091644,10,3
72.36161190352281,11,3
79.42565924272397,12,3
86.74912876848097,13,3
89.04682534041648,14,3
90.37092814408119,15,3
97.52096111416107,16,3
103.16723907378605,17,3
103.45013459349778,18,3
111.62316868444319,19,3
117.94969497150932,20,3
120.45467788370314,21,3
123.23491589980448,22,3
134.64060058839598,23,3
138.30611811336277,24,3
141.48136463945664,25,3
144.3116706137027,26,3
151.48358374403327,27,3
157.15247191495612,28,3
164.20146542016323,29,3
