cdf,request_scheduling_delay,replica
0.0,0.0,0
0.01,0.0,0
0.02,0.0,0
0.03,0.0,0
0.04,0.0,0
0.05,0.0,0
0.06,0.0,0
0.07,0.0,0
0.08,0.0,0
0.09,0.0,0
0.1,0.0,0
0.11,0.0,0
0.12,0.0,0
0.13,0.0,0
0.14,0.0,0
0.15,0.0,0
0.16,0.0,0
0.17,0.0,0
0.18,0.0,0
0.19,0.0,0
0.2,0.0,0
0.21,0.0,0
0.22,0.0,0
0.23,0.0,0
0.24,0.0,0
0.25,0.0,0
0.26,0.0,0
0.27,0.0,0
0.28,0.0,0
0.29,0.0,0
0.3,0.0,0
0.31,0.0,0
0.32,0.0,0
0.33,0.0,0
0.34,0.0,0
0.35000000000000003,0.0,0
0.36,0.0,0
0.37,0.0,0
0.38,0.0,0
0.39,0.0,0
0.4,0.0,0
0.41000000000000003,0.0,0
0.42,0.0,0
0.43,0.0,0
0.44,0.0,0
0.45,0.0,0
0.46,0.0,0
0.47000000000000003,0.0,0
0.48,0.0,0
0.49,0.0,0
0.5,0.0,0
0.51,0.0,0
0.52,0.0,0
0.53,0.0,0
0.54,0.0,0
0.55,0.0,0
0.56,0.0,0
0.5700000000000001,0.0,0
0.58,0.0,0
0.59,0.0,0
0.6,0.0,0
0.61,0.0,0
0.62,0.0,0
0.63,0.0,0
0.64,0.0,0
0.65,0.0,0
0.66,0.0,0
0.67,0.0,0
0.68,0.0,0
0.6900000000000001,0.0,0
0.7000000000000001,0.0,0
0.71,0.0,0
0.72,0.0,0
0.73,0.0,0
0.74,0.0,0
0.75,0.0004419561598947297,0
0.76,0.0009899817981641923,0
0.77,0.001538007436433661,0
0.78,0.001840311400427339,0
0.79,0.0019651497107773972,0
0.8,0.0020899880211274536,0
0.81,0.0022923458366835127,0
0.8200000000000001,0.0026356482071595603,0
0.8300000000000001,0.0029789505776356157,0
0.84,0.003336707968247764,0
0.85,0.0037920367447785677,0
0.86,0.004247365521309377,0
0.87,0.00470269429784018,0
0.88,0.005858039019886978,0
0.89,0.007088385450381906,0
0.9,0.008318731880876848,0
0.91,0.008902654044524071,0
0.92,0.009178755128720012,0
0.93,0.009454856212915958,0
0.9400000000000001,0.013731662413694518,0
0.9500000000000001,0.022866467684609385,0
0.96,0.03200127295552414,0
0.97,0.04745667069306965,0
0.98,0.08458267117334844,0
0.99,0.12170867165362766,0
1.0,0.15883467213390645,0
0.0,0.0,1
0.01,0.0,1
0.02,0.0,1
0.03,0.0,1
0.04,0.0,1
0.05,0.0,1
0.06,0.0,1
0.07,0.0,1
0.08,0.0,1
0.09,0.0,1
0.1,0.0,1
0.11,0.0,1
0.12,0.0,1
0.13,0.0,1
0.14,0.0,1
0.15,0.0,1
0.16,0.0,1
0.17,0.0,1
0.18,0.0,1
0.19,0.0,1
0.2,0.0,1
0.21,0.0,1
0.22,0.0,1
0.23,0.0,1
0.24,0.0,1
0.25,0.0,1
0.26,0.0,1
0.27,0.0,1
0.28,0.0,1
0.29,0.0,1
0.3,0.0,1
0.31,0.0,1
0.32,0.0,1
0.33,0.0,1
0.34,0.0,1
0.35000000000000003,0.0,1
0.36,0.0,1
0.37,0.0,1
0.38,0.0,1
0.39,0.0,1
0.4,0.0,1
0.41000000000000003,0.0,1
0.42,0.0,1
0.43,0.0,1
0.44,0.0,1
0.45,0.0,1
0.46,0.0,1
0.47000000000000003,0.0,1
0.48,0.0,1
0.49,0.0,1
0.5,0.0,1
0.51,0.0,1
0.52,0.0,1
0.53,0.0,1
0.54,0.0,1
0.55,0.0,1
0.56,0.0,1
0.5700000000000001,0.0,1
0.58,0.0,1
0.59,0.0,1
0.6,0.0,1
0.61,0.0,1
0.62,0.0,1
0.63,0.0,1
0.64,0.0,1
0.65,0.0,1
0.66,0.0,1
0.67,0.0,1
0.68,0.0,1
0.6900000000000001,0.0,1
0.7000000000000001,0.0,1
0.71,0.0,1
0.72,0.0,1
0.73,0.0,1
0.74,0.0,1
0.75,0.0,1
0.76,0.0,1
0.77,0.0,1
0.78,0.0,1
0.79,0.0,1
0.8,0.0,1
0.81,0.0,1
0.8200000000000001,0.0,1
0.8300000000000001,0.0,1
0.84,0.0,1
0.85,0.0,1
0.86,0.0,1
0.87,0.0002697165550186436,1
0.88,0.0010788662200745553,1
