Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
0,3.405946,0.010778,3.405946,0.010778,3.405946,0.010778,0.000000,0.000000,3.405946,0.010778,0.176229,0.000077,0.176229,0.000077,0.010221,0.000000,2606,2290,0,316,7.246835,0,0.000000,0
1,3.727779,0.010530,3.727779,0.010530,3.727779,0.010530,0.000000,0.000000,3.727779,0.010530,0.152867,0.000076,0.152867,0.000076,0.010099,3.000000,2366,2012,0,354,5.683616,0,3.000000,1
2,3.516140,0.009905,3.516140,0.009905,3.516140,0.009905,0.000000,0.000000,3.516140,0.009905,0.072174,0.000079,0.072174,0.000079,0.009701,3.000000,1270,915,0,355,2.577465,0,3.000000,3
3,0.328199,0.012623,0.328199,0.012623,0.328199,0.012623,0.000000,0.000000,0.328199,0.012623,0.085373,0.000081,0.085373,0.000081,0.009339,5.999000,1079,1053,0,26,40.500000,0,5.999000,2
4,6.296625,0.010238,6.296625,0.010238,6.296625,0.010238,0.000000,0.000000,6.296625,0.010238,0.075685,0.000051,0.075685,0.000051,0.010115,6.000000,2092,1477,512,615,2.401626,0,9.000000,3
5,0.445093,0.014358,0.445093,0.014358,0.445093,0.014358,0.000000,0.000000,0.445093,0.014358,0.139462,0.000061,0.139462,0.000061,0.009859,6.000000,2324,2293,512,31,73.967742,0,9.000000,1
6,2.382854,0.009929,2.382854,0.009929,2.382854,0.009929,0.000000,0.000000,2.382854,0.009929,0.051289,0.000046,0.051289,0.000046,0.009715,3.001000,1350,1110,512,240,4.625000,0,9.000000,2
7,5.569931,0.010630,5.569931,0.010630,5.569931,0.010630,0.000000,0.000000,5.569931,0.010630,0.116733,0.000057,0.116733,0.000057,0.010407,3.000000,2562,2038,512,524,3.889313,0,12.000000,1
8,6.064151,0.010331,6.064151,0.010331,6.064151,0.010331,0.000000,0.000000,6.064151,0.010331,0.104859,0.000055,0.104859,0.000055,0.010152,3.000000,2489,1902,512,587,3.240204,0,12.000000,2
9,3.231568,0.009974,3.231568,0.009974,3.231568,0.009974,0.000000,0.000000,3.231568,0.009974,0.048798,0.000046,0.048798,0.000046,0.009823,12.000000,1390,1066,512,324,3.290123,0,12.000000,0
10,3.188252,0.009840,3.183505,0.009826,3.183505,0.009826,0.000000,0.004747,3.183505,0.009826,0.037861,0.000042,0.033114,0.000037,0.009723,3.000000,1222,898,512,324,2.771605,0,15.000000,0
11,3.806885,0.010724,3.800825,0.010707,3.800825,0.010707,0.000000,0.006060,3.800825,0.010707,0.154514,0.000066,0.148454,0.000063,0.010288,6.000000,2705,2350,512,355,6.619718,0,15.000000,3
12,4.355252,0.010345,4.352555,0.010339,4.352555,0.010339,0.000000,0.002697,4.352555,0.010339,0.039492,0.000042,0.036795,0.000039,0.010251,3.000000,1355,934,512,421,2.218527,0,15.000000,1
13,0.586500,0.010289,0.577157,0.010126,0.577157,0.010126,0.000000,0.009343,0.577157,0.010126,0.042902,0.000048,0.033559,0.000037,0.009537,6.000000,955,898,512,57,15.754386,0,18.000000,2
14,2.268857,0.011635,2.268857,0.011635,2.268857,0.011635,0.000000,0.000000,2.268857,0.011635,0.216261,0.000068,0.216261,0.000068,0.010526,6.000000,3379,3184,512,195,16.328205,0,21.000000,0
15,3.975943,0.010863,3.975943,0.010863,3.975943,0.010863,0.000000,0.000000,3.975943,0.010863,0.173032,0.000065,0.173032,0.000065,0.010390,6.000000,3017,2651,512,366,7.243169,0,21.000000,1
16,3.655769,0.010535,3.655769,0.010535,3.655769,0.010535,0.000000,0.000000,3.655769,0.010535,0.131270,0.000062,0.131270,0.000062,0.010157,6.000000,2480,2133,512,347,6.146974,0,24.000000,2
17,2.922344,0.010077,2.922344,0.010077,2.922344,0.010077,0.000000,0.000000,2.922344,0.010077,0.073794,0.000052,0.073794,0.000052,0.009823,6.000000,1714,1424,512,290,4.910345,0,27.000000,0
18,0.492389,0.010258,0.492389,0.010258,0.492389,0.010258,0.000000,0.000000,0.492389,0.010258,0.036515,0.000038,0.036515,0.000038,0.009497,6.000000,1002,954,512,48,19.875000,0,27.000000,1
19,5.278770,0.010270,5.278770,0.010270,5.278770,0.010270,0.000000,0.000000,5.278770,0.010270,0.063898,0.000048,0.063898,0.000048,0.010146,6.000000,1836,1322,512,514,2.571984,0,33.000000,0
20,2.601442,0.009817,2.601442,0.009817,2.601442,0.009817,0.000000,0.000000,2.601442,0.009817,0.035407,0.000039,0.035407,0.000039,0.009683,9.000000,1181,916,512,265,3.456604,0,33.000000,2
21,7.278276,0.011873,7.278276,0.011873,7.278276,0.011873,0.000000,0.000000,7.278276,0.011873,0.198419,0.000069,0.198419,0.000069,0.011550,3.000000,3498,2885,512,613,4.706362,0,36.000000,2
22,0.394818,0.012736,0.394818,0.012736,0.394818,0.012736,0.000000,0.000000,0.394818,0.012736,0.097789,0.000057,0.097789,0.000057,0.009582,9.000000,1760,1729,512,31,55.774194,0,36.000000,1
23,5.507655,0.010842,5.507655,0.010842,5.507655,0.010842,0.000000,0.000000,5.507655,0.010842,0.146227,0.000060,0.146227,0.000060,0.010554,21.000000,2936,2428,512,508,4.779528,0,36.000000,3
24,5.313736,0.010522,5.310458,0.010516,5.310458,0.010516,0.000000,0.003278,5.310458,0.010516,0.054979,0.000051,0.051701,0.000048,0.010413,3.000000,1592,1087,512,505,2.152475,0,36.000000,0
25,7.404299,0.011923,7.245464,0.011667,7.245464,0.011667,0.000000,0.158835,7.245464,0.011667,0.342071,0.000143,0.183236,0.000077,0.011372,0.000000,3013,2392,512,621,3.851852,0,36.000000,2
26,2.672442,0.011721,2.672442,0.011721,2.672442,0.011721,0.000000,0.000000,2.672442,0.011721,0.243692,0.000069,0.243692,0.000069,0.010652,3.000000,3763,3535,512,228,15.504386,0,39.000000,1
