arrived_at,num_prefill_tokens,num_decode_tokens,block_hash_ids,block_size
0.0,2290,316,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381, 1382, 1383, 1384, 1385, 1386, 1387, 1388, 1389, 1390, 1391, 1392, 1393, 1394, 1395, 1396, 1397, 1398, 1399, 1400, 1401, 1402, 1403, 1404, 1405, 1406, 1407, 1408, 1409, 1410, 1411, 1412, 1413, 1414, 1415, 1416, 1417, 1418, 1419, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1433, 1434, 1435, 1436, 1437, 1438, 1439, 1099511627776, 1099511627777, 1099511627778, 1099511627779, 1099511627780, 1099511627781, 1099511627782, 1099511627783, 1099511627784, 1099511627785, 1099511627786, 1099511627787, 1099511627788, 1099511627789, 1099511627790, 1125899909988495, 1125899909988496, 1125899909988497, 1125899909988498, 1125899909988499, 1125899909988500, 1125899909988501, 1125899909988502, 1125899909988503, 1125899909988504, 1125899909988505, 1125899909988506, 1125899909988507, 1125899909988508, 1125899909988509, 1125899909988510, 1125899909988511, 1125899909988512, 1125899909988513]",16
3.0,2012,354,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 13664, 13665, 13666, 13667, 13668, 13669, 13670, 13671, 13672, 13673, 13674, 13675, 13676, 13677, 13678, 13679, 13680, 13681, 13682, 13683, 13684, 13685, 13686, 13687, 13688, 13689, 13690, 13691, 13692, 13693, 13694, 13695, 13696, 13697, 13698, 13699, 13700, 13701, 13702, 13703, 13704, 13705, 13706, 13707, 13708, 13709, 13710, 13711, 13712, 13713, 13714, 13715, 13716, 13717, 13718, 13719, 13720, 13721, 13722, 13723, 13724, 13725, 13726, 13727, 1099511627791, 1099511627792, 1099511627793, 1099511627794, 1099511627795, 1099511627796, 1099511627797, 1099511627798, 1099511627799, 1099511627800, 1099511627801, 1099511627802, 1099511627803, 1099511627804, 1099511627805, 1099511627806, 1099511627807, 1099511627808, 1099511627809, 1099511627810, 1099511627811, 1099511627812, 1099511627813, 1099511627814, 1099511627815, 1099511627816, 1099511627817, 1099511627818, 1099511627819, 1125899920474237, 1125899920474238, 1125899920474239, 1125899920474240, 1125899920474241, 1125899920474242, 1125899920474243, 1125899920474244, 1125899920474245, 1125899920474246, 1125899920474247, 1125899920474248, 1125899920474249, 1125899920474250, 1125899920474251, 1125899920474252, 1125899920474253, 1125899920474254, 1125899920474255, 1125899920474256, 1125899920474257, 1125899920474258]",16
3.0,915,355,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 1099511627820, 1099511627821, 1099511627822, 1099511627823, 1099511627824, 1099511627825, 1099511627826, 1099511627827, 1099511627828, 1099511627829, 1099511627830, 1099511627831, 1099511627832, 1099511627833, 1099511627834, 1099511627835, 1099511627836, 1099511627837, 1099511627838, 1099511627839, 1099511627840, 1099511627841, 1099511627842, 1099511627843, 1099511627844, 1125899923619897, 1125899923619898, 1125899923619899, 1125899923619900, 1125899923619901, 1125899923619902, 1125899923619903, 1125899923619904, 1125899923619905, 1125899923619906, 1125899923619907, 1125899923619908, 1125899923619909, 1125899923619910, 1125899923619911, 1125899923619912, 1125899923619913, 1125899923619914, 1125899923619915, 1125899923619916, 1125899923619917, 1125899923619918]",16
5.999,1053,26,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 24736, 24737, 24738, 24739, 24740, 24741, 24742, 24743, 24744, 24745, 24746, 24747, 24748, 24749, 24750, 24751, 24752, 24753, 24754, 24755, 24756, 24757, 24758, 24759, 24760, 24761, 24762, 24763, 24764, 24765, 24766, 24767, 1099511627845, 1125899934105665, 1125899934105666]",16
9.0,1477,615,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 26240, 26241, 26242, 26243, 26244, 26245, 26246, 26247, 26248, 26249, 26250, 26251, 26252, 26253, 26254, 26255, 26256, 26257, 26258, 26259, 26260, 26261, 26262, 26263, 26264, 26265, 26266, 26267, 26268, 26269, 26270, 26271, 1099511627846, 1099511627847, 1099511627848, 1099511627849, 1099511627850, 1099511627851, 1099511627852, 1099511627853, 1099511627854, 1099511627855, 1099511627856, 1099511627857, 1099511627858, 1099511627859, 1099511627860, 1099511627861, 1099511627862, 1099511627863, 1099511627864, 1099511627865, 1099511627866, 1099511627867, 1099511627868, 1099511627869, 1099511627870, 1099511627871, 1099511627872, 1099511627873, 1125899938299996, 1125899938299997, 1125899938299998, 1125899938299999, 1125899938300000, 1125899938300001, 1125899938300002, 1125899938300003, 1125899938300004, 1125899938300005, 1125899938300006, 1125899938300007, 1125899938300008, 1125899938300009, 1125899938300010, 1125899938300011, 1125899938300012, 1125899938300013, 1125899938300014, 1125899938300015, 1125899938300016, 1125899938300017, 1125899938300018, 1125899938300019, 1125899938300020, 1125899938300021, 1125899938300022, 1125899938300023, 1125899938300024, 1125899938300025, 1125899938300026, 1125899938300027, 1125899938300028, 1125899938300029, 1125899938300030, 1125899938300031, 1125899938300032, 1125899938300033]",16
9.0,2293,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 30688, 30689, 30690, 30691, 30692, 30693, 30694, 30695, 30696, 30697, 30698, 30699, 30700, 30701, 30702, 30703, 30704, 30705, 30706, 30707, 30708, 30709, 30710, 30711, 30712, 30713, 30714, 30715, 30716, 30717, 30718, 30719, 30720, 30721, 30722, 30723, 30724, 30725, 30726, 30727, 30728, 30729, 30730, 30731, 30732, 30733, 30734, 30735, 30736, 30737, 30738, 30739, 30740, 30741, 30742, 30743, 30744, 30745, 30746, 30747, 30748, 30749, 30750, 30751, 30752, 30753, 30754, 30755, 30756, 30757, 30758, 30759, 30760, 30761, 30762, 30763, 30764, 30765, 30766, 30767, 30768, 30769, 30770, 30771, 30772, 30773, 30774, 30775, 30776, 30777, 30778, 30779, 30780, 30781, 30782, 30783, 1099511627874, 1099511627875, 1099511627876, 1099511627877, 1099511627878, 1099511627879, 1099511627880, 1099511627881, 1099511627882, 1099511627883, 1099511627884, 1099511627885, 1099511627886, 1099511627887, 1099511627888, 1125899944591503, 1125899944591504]",16
9.0,1110,240,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 30816, 30817, 30818, 30819, 30820, 30821, 30822, 30823, 30824, 30825, 30826, 30827, 30828, 30829, 30830, 30831, 30832, 30833, 30834, 30835, 30836, 30837, 30838, 30839, 30840, 30841, 30842, 30843, 30844, 30845, 30846, 30847, 1099511627889, 1099511627890, 1099511627891, 1099511627892, 1099511627893, 1125899945640005, 1125899945640006, 1125899945640007, 1125899945640008, 1125899945640009, 1125899945640010, 1125899945640011, 1125899945640012, 1125899945640013, 1125899945640014, 1125899945640015, 1125899945640016, 1125899945640017, 1125899945640018, 1125899945640019]",16
12.0,2038,524,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31104, 31105, 31106, 31107, 31108, 31109, 31110, 31111, 31112, 31113, 31114, 31115, 31116, 31117, 31118, 31119, 31120, 31121, 31122, 31123, 31124, 31125, 31126, 31127, 31128, 31129, 31130, 31131, 31132, 31133, 31134, 31135, 31136, 31137, 31138, 31139, 31140, 31141, 31142, 31143, 31144, 31145, 31146, 31147, 31148, 31149, 31150, 31151, 31152, 31153, 31154, 31155, 31156, 31157, 31158, 31159, 31160, 31161, 31162, 31163, 31164, 31165, 31166, 31167, 1099511627894, 1099511627895, 1099511627896, 1099511627897, 1099511627898, 1099511627899, 1099511627900, 1099511627901, 1099511627902, 1099511627903, 1099511627904, 1099511627905, 1099511627906, 1099511627907, 1099511627908, 1099511627909, 1099511627910, 1099511627911, 1099511627912, 1099511627913, 1099511627914, 1099511627915, 1099511627916, 1099511627917, 1099511627918, 1099511627919, 1099511627920, 1099511627921, 1099511627922, 1099511627923, 1099511627924, 1125899947737215, 1125899947737216, 1125899947737217, 1125899947737218, 1125899947737219, 1125899947737220, 1125899947737221, 1125899947737222, 1125899947737223, 1125899947737224, 1125899947737225, 1125899947737226, 1125899947737227, 1125899947737228, 1125899947737229, 1125899947737230, 1125899947737231, 1125899947737232, 1125899947737233, 1125899947737234, 1125899947737235, 1125899947737236, 1125899947737237, 1125899947737238, 1125899947737239, 1125899947737240, 1125899947737241, 1125899947737242, 1125899947737243, 1125899947737244, 1125899947737245, 1125899947737246, 1125899947737247]",16
12.0,1902,587,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31200, 31201, 31202, 31203, 31204, 31205, 31206, 31207, 31208, 31209, 31210, 31211, 31212, 31213, 31214, 31215, 31216, 31217, 31218, 31219, 31220, 31221, 31222, 31223, 31224, 31225, 31226, 31227, 31228, 31229, 31230, 31231, 31232, 31233, 31234, 31235, 31236, 31237, 31238, 31239, 31240, 31241, 31242, 31243, 31244, 31245, 31246, 31247, 31248, 31249, 31250, 31251, 31252, 31253, 31254, 31255, 31256, 31257, 31258, 31259, 31260, 31261, 31262, 31263, 1099511627925, 1099511627926, 1099511627927, 1099511627928, 1099511627929, 1099511627930, 1099511627931, 1099511627932, 1099511627933, 1099511627934, 1099511627935, 1099511627936, 1099511627937, 1099511627938, 1099511627939, 1099511627940, 1099511627941, 1099511627942, 1099511627943, 1099511627944, 1099511627945, 1099511627946, 1125899948785782, 1125899948785783, 1125899948785784, 1125899948785785, 1125899948785786, 1125899948785787, 1125899948785788, 1125899948785789, 1125899948785790, 1125899948785791, 1125899948785792, 1125899948785793, 1125899948785794, 1125899948785795, 1125899948785796, 1125899948785797, 1125899948785798, 1125899948785799, 1125899948785800, 1125899948785801, 1125899948785802, 1125899948785803, 1125899948785804, 1125899948785805, 1125899948785806, 1125899948785807, 1125899948785808, 1125899948785809, 1125899948785810, 1125899948785811, 1125899948785812, 1125899948785813, 1125899948785814, 1125899948785815, 1125899948785816, 1125899948785817, 1125899948785818]",16
12.0,1066,324,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32896, 32897, 32898, 32899, 32900, 32901, 32902, 32903, 32904, 32905, 32906, 32907, 32908, 32909, 32910, 32911, 32912, 32913, 32914, 32915, 32916, 32917, 32918, 32919, 32920, 32921, 32922, 32923, 32924, 32925, 32926, 32927, 1099511627947, 1099511627948, 1125899951931458, 1125899951931459, 1125899951931460, 1125899951931461, 1125899951931462, 1125899951931463, 1125899951931464, 1125899951931465, 1125899951931466, 1125899951931467, 1125899951931468, 1125899951931469, 1125899951931470, 1125899951931471, 1125899951931472, 1125899951931473, 1125899951931474, 1125899951931475, 1125899951931476, 1125899951931477]",16
